title,actual_price,dis,after_dis_price,link,rating,no_of_rating
"CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook Plus Laptop  (15.6 inch, Iron Grey, 1.74 kg)","44,990",51% off,"21,990",https://www.flipkart.com/chuwi-intel-celeron-quad-core-12th-gen-n100-8-gb-256-gb-ssd-windows-11-home-gemibook-plus-laptop/p/itm1a0b8c551a8e1?pid=COMGVGD39MWGVFXH&lid=LSTCOMGVGD39MWGVFXH7GJDZ8&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&iid=en_BCZXDQIJhdMJco0F3d9jJ9o0h7mcDauOaLJqpz0fcJAWm1rCf9BhrsLULQKl3rTls-6V87_YxVVfuEf1PwM3rQ%3D%3D&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.1,290 Ratings & 47 Reviews
"Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH8 Thin and Light Laptop  (14 inch, Storm Grey, 1.35 Kg, With MS Office)","1,11,890",34% off,"72,990",https://www.flipkart.com/lenovo-yoga-slim-6-wuxga-oled-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-14irh8-thin-light-laptop/p/itm4914c3143a9a5?pid=COMGSVFETYUGZUHR&lid=LSTCOMGSVFETYUGZUHRXNKQ56&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_101&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGSVFETYUGZUHR.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.4,67 Ratings & 14 Reviews
"Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.59 kg)","72,990",38% off,"44,990",https://www.flipkart.com/acer-aspire-lite-amd-ryzen-7-octa-core-5700u-16-gb-1-tb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itma7c2fa5113beb?pid=COMHY74JXWVWVKFV&lid=LSTCOMHY74JXWVWVKFVLRN6XW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_102&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMHY74JXWVWVKFV.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.1,179 Ratings & 17 Reviews
"HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Laptop  (39.6 cm, Natural Silver, 1.69 Kg, With MS Office)","52,721",24% off,"39,990",https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-15s-fy5004tu-thin-light-laptop/p/itmbe47c02f8581c?pid=COMGQY48KGHRAF3B&lid=LSTCOMGQY48KGHRAF3BRCYCYH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_103&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGQY48KGHRAF3B.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.2,"6,083 Ratings & 364 Reviews"
"HP Laptop Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5329TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","62,963",26% off,"46,490",https://www.flipkart.com/hp-laptop-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fq5329tu-thin-light/p/itm7d7024d1947e9?pid=COMGYZVFY8MFJ8QA&lid=LSTCOMGYZVFY8MFJ8QAL8JKZN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_104&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGYZVFY8MFJ8QA.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.1,159 Ratings & 8 Reviews
"HP Victus AMD Ryzen 5 Octa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 6500M) 15-fb0133AX Gaming Laptop  (15.6 Inch, Performance Blue, 2.37 Kg, With MS Office)","72,990",25% off,"54,290",https://www.flipkart.com/hp-victus-amd-ryzen-5-octa-core-5600h-16-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-6500m-15-fb0133ax-gaming-laptop/p/itmf3d6646279edf?pid=COMGQYXZFNGY8DET&lid=LSTCOMGQYXZFNGY8DETZLVDXA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_105&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGQYXZFNGY8DET.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.5,83 Ratings & 12 Reviews
"SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN / NP750XGJ-LG3IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","89,689",21% off,"69,990",https://www.flipkart.com/samsung-galaxy-book4-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-thin-light-laptop/p/itm4d1191082404c?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_107&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGZUYDYPUZAAXD.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.5,"1,160 Ratings & 69 Reviews"
"HP 250 G9 Intel Core i3 12th Gen Intel Core i3 1215U - (8 GB/512 GB SSD/Windows 11 Home) 250 G9 Business Laptop  (15.6 inch, Silver, 1.47 kg)","47,554",32% off,"32,290",https://www.flipkart.com/hp-250-g9-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-business-laptop/p/itmaeab3e70c465d?pid=COMGWYWD7GTFGFQH&lid=LSTCOMGWYWD7GTFGFQHB1QNTB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_108&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGWYWD7GTFGFQH.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.2,627 Ratings & 30 Reviews
"Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A324-45 Thin and Light Laptop  (14 Inch, Pure Silver, 1.3 Kg)","29,999",33% off,"19,990",https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-256-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itm058a60377360b?pid=COMHFZYZHA5YJHS3&lid=LSTCOMHFZYZHA5YJHS30OEKLM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_109&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMHFZYZHA5YJHS3.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.1,759 Ratings & 69 Reviews
"DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (38 cm, Carbon Black, 1.65 Kg, With MS Office)","47,869",29% off,"33,630",https://www.flipkart.com/dell-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm06ea674a3bd5b?pid=COMGJ75HCCFJS8AE&lid=LSTCOMGJ75HCCFJS8AEUH9CKO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_110&otracker=search&otracker1=search&fm=Search&iid=96128620-7266-480a-8a9b-6c7f839696ba.COMGJ75HCCFJS8AE.SEARCH&ppt=sp&ppn=sp&ssid=t9ft8jaa400000001736063995179&qH=312f91285e048e09,4.2,"2,437 Ratings & 257 Reviews"
